claim_id,person_id,age,sex,state,benefit_type,years_contributed,prior_claim_count,prior_denial_count,overpayment_flag,has_representative,filing_channel,employment_status,suspicious_ip_flag,bank_country_match_flag,doc_inconsistency_count,days_since_last_claim,claim_amount,monthly_benefit,is_fraud
CLM100019,PID50019,66,F,NC,Retirement,18,0,0,0,0,Online,Employed,0,0,0,692,832.26,33.88,0
CLM100020,PID50020,76,F,TX,Disability,38,0,0,0,1,FieldOffice,Employed,0,1,1,2491,1481.59,78.7,1
CLM100021,PID50021,59,M,LA,Retirement,42,1,1,0,1,Phone,Unemployed,0,1,0,67,1888.93,99.03,0
CLM100022,PID50022,77,F,PA,SSI,25,1,1,0,1,Online,Employed,0,1,0,538,773.67,38.79,0
CLM100023,PID50023,32,M,MI,Disability,19,2,0,0,1,Online,Employed,0,1,0,634,1217.34,78.81,0
CLM100024,PID50024,79,F,FL,Survivors,41,2,1,0,0,Online,Employed,0,1,0,1790,1337.1,93.04,0
CLM100025,PID50025,79,F,NY,Disability,3,1,0,0,0,Online,Retired,0,1,1,251,1206.17,50.81,0
CLM100026,PID50026,64,F,NY,Disability,16,1,0,0,0,Online,Retired,0,1,0,504,1381.16,156.25,1
CLM100027,PID50027,79,M,NY,Disability,35,0,0,0,1,FieldOffice,Employed,0,1,1,1945,1458.85,154.74,0
CLM100028,PID50028,68,F,TX,Retirement,39,0,0,0,0,Online,Retired,0,1,0,1676,1921.63,59.57,0
CLM100029,PID50029,72,M,CA,Disability,22,0,0,0,0,Online,Employed,0,1,0,675,1600.33,113.18,0
CLM100030,PID50030,81,F,NJ,Retirement,45,1,0,0,1,FieldOffice,Employed,0,1,0,3537,1772.69,198.08,0
CLM100031,PID50031,20,F,IL,Retirement,1,1,1,0,1,Phone,Unemployed,0,1,1,912,554.58,15.51,0
CLM100032,PID50032,68,F,NC,Retirement,36,0,0,0,0,Online,Retired,0,1,0,3384,1531.4,111.28,0
CLM100033,PID50033,24,F,IL,Disability,26,2,0,0,0,Online,Retired,0,1,1,850,1425.09,66.62,0
CLM100034,PID50034,38,M,IL,SSI,20,1,0,0,0,Online,Retired,0,1,0,1307,585.94,18.45,0
CLM100035,PID50035,56,M,FL,Retirement,34,2,1,0,1,Mail,Disabled,0,1,0,51,1103.02,39.24,0
CLM100036,PID50036,35,M,NJ,Disability,21,1,0,0,1,Online,Employed,0,1,0,2376,1623.09,92.37,0
CLM100037,PID50037,21,F,NY,Survivors,14,0,0,0,1,FieldOffice,Disabled,0,1,0,344,579.55,47.24,0
CLM100038,PID50038,77,F,WA,Retirement,26,1,0,0,1,FieldOffice,Retired,0,1,0,3044,1468.49,58.77,0
CLM100039,PID50039,31,F,NY,Retirement,24,3,1,0,0,Phone,Disabled,0,1,0,366,756.71,36.72,0
CLM100040,PID50040,26,M,TX,Retirement,17,1,0,0,0,Online,Employed,0,1,0,47,1120.18,119.29,0
CLM100041,PID50041,70,F,IL,Survivors,19,0,0,0,1,Mail,Employed,0,1,0,3030,1237.37,59.94,0
CLM100042,PID50042,19,M,FL,Retirement,21,2,0,0,0,Online,Disabled,0,1,1,3631,1333.51,109.28,0
CLM100043,PID50043,77,F,PA,Retirement,9,4,2,1,0,Online,Unemployed,0,1,1,466,654.84,27.08,0
CLM100044,PID50044,88,F,TX,Disability,8,0,0,0,1,FieldOffice,Employed,0,1,2,1817,758.65,21.17,1
CLM100045,PID50045,61,F,TX,Survivors,34,2,2,0,1,FieldOffice,Retired,0,1,0,2171,1796.68,178.06,1
CLM100046,PID50046,25,F,MI,SSI,11,0,0,0,0,FieldOffice,Unemployed,0,1,0,30,816.89,30.59,0
CLM100047,PID50047,64,M,PA,Retirement,25,0,0,0,1,Online,Retired,1,0,0,2537,1221.31,34.99,0
CLM100048,PID50048,52,F,NY,SSI,6,1,0,0,0,Mail,Employed,0,1,2,505,634.56,38.23,0
CLM100049,PID50049,53,M,IL,Retirement,40,0,0,0,0,Online,Retired,0,1,0,1071,1097.58,43.32,0
CLM100050,PID50050,67,F,NY,Retirement,22,3,1,0,1,Online,Retired,0,1,1,1141,1650.39,46.55,0
CLM100051,PID50051,21,M,LA,SSI,36,2,1,0,0,Online,Employed,0,1,0,1540,1617.46,64.42,0
CLM100052,PID50052,19,F,TX,Disability,45,0,0,1,0,Online,Retired,0,1,1,450,2233.24,70.46,0
CLM100053,PID50053,23,M,NY,Retirement,12,4,2,0,1,Online,Employed,0,1,0,3090,1119.68,31.44,0
CLM100054,PID50054,71,M,CA,Disability,18,1,1,0,0,Phone,Employed,0,1,1,3253,1466.93,43.62,1
CLM100055,PID50055,21,M,AZ,Disability,34,0,0,0,0,Online,Retired,0,1,2,891,1466.12,44.26,0
CLM100056,PID50056,71,F,OH,Survivors,19,1,0,0,0,Online,Disabled,1,1,0,2351,1080.65,37.73,0
CLM100057,PID50057,80,M,PA,Survivors,28,0,0,0,1,Phone,Unemployed,0,1,1,860,1030.65,50.99,0
CLM100058,PID50058,35,F,IL,Disability,26,1,0,0,1,Phone,Employed,0,1,2,728,1814.68,80.28,1
CLM100059,PID50059,61,F,PA,Survivors,2,3,0,0,0,FieldOffice,Retired,0,1,0,1982,568.12,50.69,0
CLM100060,PID50060,51,F,MI,Disability,34,2,0,0,1,Online,Retired,0,1,0,1892,979.39,63.04,0
CLM100061,PID50061,79,F,NY,Disability,24,2,1,0,0,Online,Disabled,0,1,1,2451,1371.87,88.97,0
CLM100062,PID50062,31,M,NY,Disability,13,3,1,1,1,Online,Employed,0,1,0,620,1381.18,67.4,1
CLM100063,PID50063,65,F,WA,Retirement,40,1,0,0,0,Online,Retired,0,1,0,3268,953.63,34.08,0
CLM100064,PID50064,32,M,IL,Retirement,18,2,1,0,1,Online,Employed,0,1,0,1505,1080.05,86.79,0
CLM100065,PID50065,89,M,IL,Retirement,17,0,0,0,0,FieldOffice,Disabled,0,1,0,1788,1178.46,47.68,0
CLM100066,PID50066,79,F,AZ,Disability,7,0,0,0,1,Online,Retired,0,1,0,3362,746.52,22.16,0
CLM100067,PID50067,57,M,LA,Retirement,31,2,0,0,1,Mail,Unemployed,1,1,0,138,1161.43,66.33,0
CLM100068,PID50068,70,F,CA,Retirement,25,0,0,0,1,FieldOffice,Employed,0,1,0,3095,1177.74,63.18,0
CLM100069,PID50069,41,M,FL,Retirement,8,3,1,0,0,Online,Retired,0,1,1,1591,625.89,51.06,0
CLM100070,PID50070,43,F,GA,Retirement,27,3,1,0,1,Online,Unemployed,0,1,0,1571,816.08,30.84,0
CLM100071,PID50071,77,M,MI,Disability,33,1,0,0,0,Online,Retired,1,1,0,236,2279.71,98.3,1
CLM100072,PID50072,58,M,NY,Retirement,30,1,0,0,0,Online,Retired,0,1,2,163,806.93,27.79,0
CLM100073,PID50073,46,M,IL,Retirement,38,2,0,0,0,FieldOffice,Retired,0,1,0,3303,1987.96,56.72,0
CLM100074,PID50074,32,F,IL,Disability,19,3,2,0,0,Online,Employed,0,1,1,199,1034.23,36.33,1
CLM100075,PID50075,62,F,OH,Survivors,43,2,0,0,0,Online,Unemployed,0,1,0,1858,2097.4,161.42,0
CLM100076,PID50076,82,F,MI,Retirement,25,1,1,0,0,FieldOffice,Unemployed,0,1,0,959,1718.53,58.44,0
CLM100077,PID50077,88,F,GA,Retirement,33,2,1,0,0,Phone,Retired,0,1,0,1666,859.91,27.54,0
CLM100078,PID50078,26,F,OH,SSI,38,1,0,0,0,FieldOffice,Unemployed,1,1,0,220,1233.18,41.91,0
CLM100079,PID50079,18,M,NJ,Retirement,45,2,2,0,1,Online,Retired,1,1,2,2752,1372.94,39.42,1
CLM100080,PID50080,25,F,TX,SSI,14,0,0,0,0,Online,Employed,0,1,1,2329,780.3,63.05,0
CLM100081,PID50081,80,F,MI,Retirement,18,2,1,0,0,Online,Disabled,0,1,1,216,700.08,41.58,1
CLM100082,PID50082,28,M,MI,Retirement,27,2,1,0,0,Online,Employed,0,0,0,2601,960.29,54.57,0
CLM100083,PID50083,25,M,LA,Retirement,21,2,0,0,1,FieldOffice,Unemployed,0,1,1,1830,643.74,24.71,0
CLM100084,PID50084,52,F,VA,Retirement,17,1,1,0,1,Online,Retired,0,1,0,2709,777.24,26.33,0
CLM100085,PID50085,52,F,AZ,Survivors,10,0,0,0,0,Online,Unemployed,0,1,0,2482,697.24,40.53,0
CLM100086,PID50086,50,F,TX,SSI,26,2,1,0,0,FieldOffice,Unemployed,0,1,0,544,794.88,22.4,0
CLM100087,PID50087,22,F,VA,SSI,33,0,0,0,0,Online,Retired,1,1,0,1908,1310.26,41.68,0
CLM100088,PID50088,58,M,PA,Survivors,29,1,0,0,0,Online,Employed,0,1,0,2592,1349.13,67.79,0
CLM100089,PID50089,45,F,VA,Survivors,9,3,0,1,1,Online,Disabled,0,1,0,2149,691.4,56.67,1
CLM100090,PID50090,24,M,NC,Disability,9,0,0,0,0,Mail,Unemployed,0,1,0,3010,687.33,34.6,0
CLM100091,PID50091,89,M,CA,Survivors,26,1,0,0,0,FieldOffice,Retired,0,1,0,286,1098.94,38.09,0
CLM100092,PID50092,29,M,LA,Retirement,23,0,0,0,0,Online,Unemployed,0,1,0,147,604.19,39.11,0
CLM100093,PID50093,51,F,OH,Retirement,22,1,0,0,1,FieldOffice,Retired,0,1,0,2452,1111.47,59.93,0
CLM100094,PID50094,50,F,NC,Disability,22,1,0,0,0,Mail,Retired,0,1,0,1704,1160.91,97.11,0
CLM100095,PID50095,65,M,TX,Survivors,20,1,1,0,1,Online,Unemployed,1,1,0,3214,1059.16,33.22,0
CLM100096,PID50096,40,F,NJ,Disability,26,0,0,0,0,FieldOffice,Employed,0,1,2,1731,1384.39,43.48,0
CLM100097,PID50097,79,F,IL,Survivors,36,1,0,0,1,Online,Employed,0,1,0,3238,1484.03,102.04,0
CLM100098,PID50098,54,F,AZ,Disability,16,1,0,0,0,Phone,Retired,0,1,0,1510,1386.47,61.21,0
CLM100099,PID50099,61,F,OH,Disability,30,2,0,0,0,Online,Retired,0,1,0,2721,1570.34,175.19,0
CLM100100,PID50100,52,M,NC,SSI,26,0,0,0,0,Phone,Retired,0,1,0,2622,1187.03,35.65,0
CLM100101,PID50101,82,F,LA,Retirement,7,2,0,0,0,FieldOffice,Retired,0,1,1,625,993.92,30.65,0
CLM100102,PID50102,64,F,NJ,SSI,18,3,1,0,0,FieldOffice,Unemployed,0,1,0,60,534.52,18.83,0
CLM100103,PID50103,20,F,NJ,Disability,25,2,0,0,0,Mail,Unemployed,0,1,0,405,897.5,25.18,0
CLM100104,PID50104,18,M,GA,Disability,45,0,0,0,0,Online,Employed,0,1,1,3569,1865.42,59.75,0
CLM100105,PID50105,22,M,AZ,Survivors,18,1,0,0,1,Online,Employed,0,1,2,1846,1322.03,79.91,1
CLM100106,PID50106,31,M,CA,Retirement,19,1,1,1,1,Online,Unemployed,0,1,0,3475,608.05,31.05,0
CLM100107,PID50107,44,F,GA,Retirement,29,0,0,0,0,Online,Employed,0,1,1,280,756.77,23.19,0
CLM100108,PID50108,26,F,LA,Disability,24,1,0,0,1,Online,Employed,0,0,0,294,1405.8,61.53,0
CLM100109,PID50109,32,F,IL,Retirement,12,0,0,0,0,Online,Unemployed,0,1,0,490,1144.58,38.18,0
CLM100110,PID50110,59,M,PA,Disability,8,3,0,0,0,Mail,Unemployed,1,1,0,3622,932.86,62.14,0
CLM100111,PID50111,68,M,AZ,Retirement,6,0,0,0,0,FieldOffice,Retired,0,1,0,3510,1015.44,44.72,0
CLM100112,PID50112,80,M,MI,SSI,34,1,1,0,0,Online,Employed,0,1,1,2487,1328.01,64.75,0
CLM100113,PID50113,69,F,NJ,Retirement,15,1,1,1,0,Online,Retired,0,1,0,1651,1030.37,123.64,0
CLM100114,PID50114,21,M,LA,Disability,45,3,0,0,1,FieldOffice,Employed,0,1,0,1579,1420.71,129.34,0
CLM100115,PID50115,40,F,AZ,SSI,20,2,1,1,0,Online,Retired,1,1,1,1818,899.13,33.1,1
CLM100116,PID50116,32,M,TX,SSI,33,2,0,0,0,Online,Employed,1,1,0,2098,1619.67,57.79,1
CLM100117,PID50117,60,F,WA,Disability,13,0,0,0,0,FieldOffice,Retired,0,1,1,749,1074.66,58.81,0
CLM100118,PID50118,46,M,OH,Disability,27,1,0,0,0,Online,Employed,0,1,0,858,1611.38,145.17,0
CLM100119,PID50119,53,F,WA,Retirement,39,3,0,0,1,FieldOffice,Unemployed,0,1,0,2792,1988.08,235.15,0
CLM100120,PID50120,30,F,FL,Retirement,22,1,0,0,0,Online,Employed,0,1,0,2210,996.25,35.9,0
CLM100121,PID50121,49,M,GA,Retirement,14,1,0,0,0,Online,Unemployed,0,1,0,1850,839.42,34.11,0
CLM100122,PID50122,88,F,PA,Disability,21,1,0,0,1,Mail,Retired,0,1,0,751,1196.4,44.99,0
CLM100123,PID50123,76,M,OH,Retirement,23,0,0,0,0,Phone,Retired,0,1,0,221,1047.29,84.57,0
CLM100124,PID50124,45,M,LA,Disability,15,0,0,0,0,Mail,Employed,0,1,0,2819,899.57,80.07,0
CLM100125,PID50125,83,M,PA,Retirement,42,3,0,0,1,Mail,Retired,0,1,0,2976,1767.15,85.12,0
CLM100126,PID50126,59,F,LA,Disability,25,2,1,0,0,Online,Employed,0,1,0,1517,1834.59,135.64,0
CLM100127,PID50127,62,F,MI,Disability,38,2,0,0,1,Mail,Retired,0,1,0,1561,1694.41,83.83,0
CLM100128,PID50128,79,M,PA,Survivors,36,0,0,0,1,Online,Retired,0,1,0,2328,2061.62,68.28,0
CLM100129,PID50129,74,F,OH,Retirement,42,0,0,0,1,Online,Unemployed,0,1,0,493,2345.62,170.83,0
CLM100130,PID50130,23,M,MI,Retirement,12,0,0,0,1,FieldOffice,Unemployed,0,1,1,2260,1096.58,61.71,0
CLM100131,PID50131,45,F,NJ,Retirement,31,2,0,0,0,Phone,Unemployed,1,1,1,3175,1216.97,41.3,0
CLM100132,PID50132,45,F,CA,Retirement,20,0,0,1,1,FieldOffice,Retired,0,1,0,76,1145.12,59.19,0
CLM100133,PID50133,61,F,NJ,Disability,24,1,0,0,0,Online,Employed,0,1,2,875,968.85,40.35,1
CLM100134,PID50134,47,F,NC,Retirement,14,0,0,0,0,FieldOffice,Disabled,0,1,1,2092,952.73,68.69,0
CLM100135,PID50135,79,F,WA,Retirement,45,3,0,1,0,FieldOffice,Employed,0,1,0,3030,1063.55,32.86,1
CLM100136,PID50136,79,M,FL,Survivors,18,4,1,0,0,FieldOffice,Unemployed,0,1,1,2100,1296.77,76.11,0
CLM100137,PID50137,18,M,PA,Disability,32,2,0,0,1,Mail,Employed,0,0,2,410,1328.23,63.3,0
CLM100138,PID50138,44,F,CA,Retirement,12,1,1,1,0,FieldOffice,Unemployed,0,1,0,86,862.56,63.77,0
CLM100139,PID50139,79,M,FL,Retirement,22,0,0,0,1,Online,Retired,0,1,0,2786,793.52,57.47,1
CLM100140,PID50140,20,F,PA,Retirement,36,0,0,0,1,Online,Unemployed,0,1,0,117,1349.95,66.64,0
CLM100141,PID50141,87,M,OH,Disability,28,1,0,0,1,Phone,Employed,0,1,0,758,1856.13,137.77,0
CLM100142,PID50142,89,M,VA,Disability,16,0,0,0,0,Online,Unemployed,0,1,0,2124,891.41,24.89,0
CLM100143,PID50143,44,M,PA,Disability,18,2,0,0,0,Online,Employed,0,1,2,3625,1022.91,43.09,0
CLM100144,PID50144,26,F,LA,Retirement,27,2,0,0,1,Online,Unemployed,1,1,2,1235,687.27,70.47,0
CLM100145,PID50145,79,F,FL,Disability,25,1,0,0,0,Phone,Retired,0,1,0,3463,986.16,93.47,0
CLM100146,PID50146,54,F,WA,Retirement,12,1,0,0,1,Online,Retired,0,1,1,2520,589.25,28.15,0
CLM100147,PID50147,68,M,VA,Disability,21,1,0,0,0,Mail,Retired,0,1,0,2314,2002.75,212.59,0
CLM100148,PID50148,61,F,OH,Survivors,24,0,0,0,1,Mail,Employed,0,1,1,386,1538.98,53.24,0
CLM100149,PID50149,41,M,NC,Retirement,31,1,0,0,0,Phone,Employed,0,1,0,1336,982.59,35.34,0
CLM100150,PID50150,76,F,AZ,Retirement,35,5,1,0,1,FieldOffice,Unemployed,0,1,1,524,1845.0,63.23,0
CLM100151,PID50151,49,M,TX,Survivors,32,1,1,0,0,Online,Retired,0,1,0,1060,1565.28,53.82,0
CLM100152,PID50152,69,F,PA,Retirement,28,1,0,0,1,Online,Employed,0,1,0,875,1544.13,117.51,0
CLM100153,PID50153,79,F,IL,Retirement,29,2,0,0,0,Online,Employed,0,1,1,951,1533.86,46.44,0
CLM100154,PID50154,75,F,TX,Disability,30,5,4,0,0,Online,Employed,1,1,1,1977,1672.96,53.23,0
CLM100155,PID50155,69,F,GA,Disability,35,0,0,0,0,Mail,Employed,0,1,0,351,1331.58,57.73,0
CLM100156,PID50156,29,F,VA,Survivors,42,0,0,0,1,Online,Retired,0,1,1,768,1057.06,70.67,0
CLM100157,PID50157,56,M,OH,Retirement,15,1,0,0,0,Online,Unemployed,0,1,1,1254,774.21,23.25,0
CLM100158,PID50158,19,F,AZ,Retirement,21,1,0,0,0,Online,Employed,0,1,0,1416,783.98,26.58,0
CLM100159,PID50159,20,F,NY,Retirement,35,0,0,0,0,Online,Disabled,0,0,1,2416,1741.5,214.05,1
CLM100160,PID50160,73,M,NJ,Disability,15,1,1,0,0,FieldOffice,Retired,0,1,0,1281,1426.29,74.75,0
CLM100161,PID50161,76,F,OH,Retirement,12,0,0,0,0,Online,Employed,0,1,2,1102,1171.42,63.26,0
CLM100162,PID50162,19,M,LA,Disability,19,1,0,0,1,Online,Employed,0,1,0,2102,1221.33,49.61,0
CLM100163,PID50163,19,M,LA,Retirement,26,2,1,0,0,FieldOffice,Retired,0,1,0,1229,759.13,50.38,0
CLM100164,PID50164,71,F,PA,Retirement,20,0,0,0,1,FieldOffice,Employed,0,1,1,1352,1461.35,44.13,0
CLM100165,PID50165,18,F,OH,Retirement,29,1,0,0,0,Online,Employed,0,1,1,3060,1343.3,109.91,1
CLM100166,PID50166,36,F,FL,SSI,22,3,0,0,0,Online,Unemployed,0,1,0,853,947.13,61.57,0
CLM100167,PID50167,19,M,VA,Survivors,22,1,0,0,1,FieldOffice,Unemployed,0,1,0,3511,847.4,57.86,0
CLM100168,PID50168,70,M,VA,SSI,8,0,0,0,0,Online,Unemployed,1,1,0,1812,745.26,61.51,0
CLM100169,PID50169,61,M,NC,Retirement,31,1,1,0,0,FieldOffice,Retired,0,1,0,446,1727.64,95.98,0
CLM100170,PID50170,49,M,VA,Retirement,31,2,1,0,0,FieldOffice,Unemployed,0,1,0,2820,1143.13,78.27,0
CLM100171,PID50171,87,F,MI,Retirement,23,1,0,1,0,FieldOffice,Unemployed,0,1,0,3171,1354.97,60.9,0
CLM100172,PID50172,49,M,MI,Disability,26,1,0,0,0,FieldOffice,Retired,0,1,0,686,939.08,27.4,0
CLM100173,PID50173,85,M,OH,Retirement,26,1,1,0,0,Online,Retired,0,0,0,222,1194.33,128.13,0
CLM100174,PID50174,72,M,VA,Retirement,36,1,0,0,0,Online,Unemployed,0,1,0,110,2210.48,74.08,0
CLM100175,PID50175,73,M,OH,Retirement,27,2,0,0,1,Online,Unemployed,0,1,0,1025,1086.87,34.74,0
CLM100176,PID50176,34,M,NC,Disability,12,2,0,0,0,Online,Unemployed,0,1,1,2993,1333.08,132.63,0
CLM100177,PID50177,55,F,VA,Retirement,44,2,0,0,0,Online,Retired,0,1,0,2203,2175.05,120.68,0
CLM100178,PID50178,41,F,VA,Retirement,38,1,0,0,1,Phone,Unemployed,0,1,0,876,2078.6,64.92,1
CLM100179,PID50179,86,F,MI,Retirement,25,3,0,0,0,Phone,Unemployed,0,1,0,2748,1227.76,50.35,0
CLM100180,PID50180,87,F,CA,Retirement,27,0,0,0,0,Phone,Retired,0,1,0,851,1040.01,44.49,0
CLM100181,PID50181,28,M,PA,Disability,28,1,1,0,1,Online,Retired,1,1,0,2255,1484.46,85.68,1
CLM100182,PID50182,33,F,TX,Disability,17,1,0,0,1,Online,Employed,0,1,0,3042,1240.67,122.8,1
CLM100183,PID50183,76,M,CA,Retirement,36,1,0,0,0,Online,Retired,0,1,0,2340,2040.9,120.14,0
CLM100184,PID50184,87,F,WA,Disability,35,1,1,0,0,Online,Employed,0,1,1,3493,1236.24,138.77,0
CLM100185,PID50185,20,F,NC,Retirement,24,3,0,0,1,Online,Disabled,0,0,1,1308,1026.34,60.85,0
CLM100186,PID50186,37,M,OH,Retirement,32,1,0,0,0,FieldOffice,Unemployed,0,1,1,941,1831.97,54.02,0
CLM100187,PID50187,76,M,PA,Disability,35,0,0,0,0,FieldOffice,Unemployed,0,1,0,2538,2580.63,83.56,0
CLM100188,PID50188,53,F,IL,SSI,27,2,0,0,0,Online,Employed,0,1,2,1897,1068.78,81.59,0
CLM100189,PID50189,36,F,NJ,Disability,15,0,0,0,1,Online,Retired,0,1,0,194,1178.93,60.38,0
CLM100190,PID50190,84,F,IL,Retirement,32,1,0,0,1,Phone,Employed,0,1,2,2574,1009.71,33.97,0
CLM100191,PID50191,36,F,GA,Disability,26,3,0,0,1,Online,Employed,0,1,0,398,1961.24,56.06,0
CLM100192,PID50192,37,F,GA,Retirement,14,1,0,0,0,Online,Retired,1,1,0,705,613.98,25.72,0
CLM100193,PID50193,88,F,WA,Disability,35,0,0,0,0,FieldOffice,Employed,0,1,0,1140,1074.96,65.18,0
CLM100194,PID50194,69,M,WA,Retirement,27,0,0,1,0,Online,Disabled,0,1,0,965,1382.41,60.03,0
CLM100195,PID50195,50,M,PA,Disability,23,3,2,0,1,Phone,Unemployed,0,1,2,2474,1505.14,43.29,0
CLM100196,PID50196,57,M,VA,Retirement,45,4,0,0,0,Online,Retired,0,1,0,1016,1847.16,65.33,0
CLM100197,PID50197,56,M,NJ,Disability,20,1,0,0,0,Online,Disabled,0,1,1,1190,1599.0,196.79,0
CLM100198,PID50198,18,F,NY,Disability,16,2,0,1,0,Mail,Employed,0,1,1,2275,1384.81,48.75,0
CLM100199,PID50199,28,M,OH,Retirement,27,3,2,0,0,FieldOffice,Unemployed,0,0,0,1622,870.5,31.34,0
CLM100200,PID50200,74,F,FL,Survivors,23,0,0,0,0,Online,Retired,0,0,0,868,1744.87,57.6,0
CLM100201,PID50201,67,M,IL,Disability,19,0,0,0,0,Mail,Retired,0,1,1,2736,1048.56,36.78,0
CLM100202,PID50202,40,F,OH,Retirement,39,2,1,0,0,Online,Retired,0,1,1,2832,1302.59,83.75,0
CLM100203,PID50203,48,F,NJ,Retirement,14,1,0,0,0,Online,Retired,0,1,1,2503,916.51,25.8,0
CLM100204,PID50204,59,M,WA,Disability,28,2,0,0,0,Mail,Disabled,0,1,1,55,1167.53,45.44,0
CLM100205,PID50205,24,M,OH,Retirement,26,2,0,0,0,FieldOffice,Employed,0,1,1,1107,906.89,28.71,0
CLM100206,PID50206,33,M,NJ,SSI,25,0,0,0,0,Online,Retired,0,1,0,1585,1049.88,127.48,0
CLM100207,PID50207,77,M,NC,Retirement,37,4,0,0,0,FieldOffice,Retired,1,1,0,761,2307.25,146.04,0
CLM100208,PID50208,19,F,MI,Retirement,45,2,0,0,1,Online,Unemployed,0,1,0,2019,1263.43,38.38,0
CLM100209,PID50209,18,F,CA,SSI,25,0,0,0,0,Online,Retired,0,1,2,1779,1030.79,107.92,0
CLM100210,PID50210,65,F,IL,SSI,34,0,0,0,0,Phone,Retired,0,1,0,3450,1230.53,75.0,0
CLM100211,PID50211,29,M,NJ,Retirement,25,1,0,1,0,Online,Employed,0,1,1,1389,645.88,68.48,0
CLM100212,PID50212,86,M,WA,Disability,26,3,0,1,1,FieldOffice,Employed,0,1,2,1153,953.82,82.87,1
CLM100213,PID50213,54,F,GA,Retirement,30,2,0,0,0,Online,Employed,0,1,0,3203,1738.56,84.11,0
CLM100214,PID50214,49,M,NJ,Disability,27,3,0,0,1,Online,Employed,0,1,1,1419,1704.54,96.2,0
CLM100215,PID50215,26,M,OH,Survivors,16,0,0,0,0,Online,Retired,1,1,0,119,629.37,18.46,0
CLM100216,PID50216,36,F,LA,Retirement,38,3,1,0,1,Mail,Disabled,0,1,2,2747,1262.8,78.14,0
CLM100217,PID50217,65,M,WA,Retirement,29,1,1,0,0,FieldOffice,Employed,0,1,0,2747,1296.18,44.71,0
CLM100218,PID50218,20,M,VA,Retirement,25,2,1,0,0,FieldOffice,Retired,1,1,0,2533,1340.17,108.58,1
CLM100219,PID50219,37,M,TX,Retirement,19,1,1,0,1,Mail,Disabled,0,1,2,3524,653.59,80.51,0
CLM100220,PID50220,41,F,CA,Retirement,28,1,0,0,0,Online,Retired,0,1,0,1774,678.9,34.19,0
CLM100221,PID50221,71,F,MI,Survivors,23,2,1,0,0,Online,Unemployed,0,1,1,2356,1428.02,53.0,1
CLM100222,PID50222,50,F,GA,Retirement,27,1,0,0,1,Online,Employed,0,1,1,2879,1243.16,42.45,0
CLM100223,PID50223,41,F,NC,Disability,23,0,0,0,1,Online,Employed,0,1,0,3038,1631.03,167.04,0
CLM100224,PID50224,89,M,IL,Disability,17,1,1,0,0,Online,Employed,0,1,0,1748,951.14,38.62,0
